DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,superkingdom unchar
COLOR,#2E2D97
COLOR_BRANCHES,1
STRIP_WIDTH,50
DATA
bfd_028251,#BF8F6B
bfd_001000,#BF8F6B
bfd_017120,#BF8F6B
bfd_002600,#BF8F6B
bfd_040419,#BF8F6B
bfd_100533,#BF8F6B
bfd_003110,#C3CAD7
bfd_177183,#FF9481
bfd_008243,#BF8F6B
bfd_209311,#BF8F6B
bfd_000623,#C3CAD7
bfd_078819,#BF8F6B
bfd_043500,#BF8F6B
bfd_020097,#BF8F6B
bfd_016932,#BF8F6B
bfd_033261,#BF8F6B
bfd_078987,#C3CAD7
bfd_000587,#C3CAD7
bfd_095563,#995FBC
bfd_089367,#BF8F6B
bfd_023609,#BF8F6B
bfd_045448,#995FBC
bfd_033921,#BF8F6B
bfd_070693,#BF8F6B
bfd_038729,#BF8F6B
bfd_052440,#BF8F6B
bfd_033194,#BF8F6B
bfd_089450,#BF8F6B
bfd_051280,#BF8F6B
bfd_038155,#BF8F6B
bfd_000045,#C3CAD7
bfd_078897,#BF8F6B
bfd_082019,#BF8F6B
bfd_041876,#BF8F6B
bfd_035196,#BF8F6B
bfd_003291,#BF8F6B
bfd_216439,#C3CAD7
bfd_034266,#BF8F6B
bfd_039049,#BF8F6B
bfd_029398,#BF8F6B
bfd_075288,#BF8F6B
bfd_045690,#C3CAD7
bfd_038147,#BF8F6B
bfd_000673,#BF8F6B
bfd_097362,#995FBC
bfd_014958,#C3CAD7
bfd_083983,#BF8F6B
bfd_100734,#BF8F6B
bfd_044931,#995FBC
bfd_025530,#BF8F6B
bfd_013386,#C3CAD7
bfd_064201,#BF8F6B
bfd_064424,#BF8F6B
bfd_078807,#BF8F6B
bfd_011751,#C3CAD7
bfd_050012,#BF8F6B
bfd_043802,#BF8F6B
bfd_013648,#BF8F6B
bfd_009388,#BF8F6B
bfd_046902,#BF8F6B
bfd_054313,#C3CAD7
bfd_104259,#BF8F6B
bfd_100171,#BF8F6B
bfd_060385,#C3CAD7
bfd_026960,#BF8F6B
bfd_010967,#BF8F6B
bfd_002977,#BF8F6B
bfd_008059,#BF8F6B
bfd_124663,#C3CAD7
bfd_045971,#BF8F6B
bfd_123738,#BF8F6B
bfd_064536,#BF8F6B
bfd_009248,#C3CAD7
bfd_002927,#C3CAD7
bfd_024918,#BF8F6B
bfd_038599,#BF8F6B
bfd_007062,#C3CAD7
bfd_015700,#BF8F6B
bfd_045506,#BF8F6B
bfd_066848,#BF8F6B
bfd_012108,#BF8F6B
bfd_019814,#BF8F6B
bfd_043386,#BF8F6B
bfd_100592,#BF8F6B
bfd_039340,#C3CAD7
bfd_066255,#C3CAD7
bfd_006322,#BF8F6B
bfd_017418,#BF8F6B
bfd_052672,#BF8F6B
bfd_001578,#BF8F6B
bfd_041759,#BF8F6B
bfd_061844,#BF8F6B
bfd_061876,#BF8F6B
bfd_083773,#BF8F6B
bfd_215764,#C3CAD7
bfd_072417,#C3CAD7
bfd_029544,#BF8F6B
bfd_009869,#BF8F6B
bfd_047690,#C3CAD7
bfd_035635,#BF8F6B
bfd_071917,#BF8F6B
bfd_051733,#BF8F6B
bfd_015838,#BF8F6B
bfd_031910,#BF8F6B
bfd_066877,#BF8F6B
bfd_007522,#BF8F6B
bfd_004755,#C3CAD7
bfd_118735,#BF8F6B
bfd_035328,#C3CAD7
bfd_085952,#BF8F6B
bfd_034397,#BF8F6B
bfd_052856,#BF8F6B
bfd_086478,#BF8F6B
