,cluster,total_size,n_characterized,most_unique_product_count_mean,network_size
218,776,17,0,0.0,4
219,1055,17,0,0.0,1
220,1099,17,0,0.0,2
221,10,17,0,0.0,6
222,1453,17,0,0.0,1
223,67,17,0,0.0,3
224,293,17,0,0.0,1
225,539,17,0,0.0,6
226,874,16,0,0.0,2
227,182,16,0,0.0,3
228,280,16,0,0.0,6
229,107,16,0,0.0,7
230,209,16,0,0.0,3
231,1373,15,0,0.0,2
232,25,15,0,0.0,5
233,49,15,0,0.0,5
234,1360,15,0,0.0,2
235,808,15,0,0.0,1
236,196,15,0,0.0,6
237,1285,15,0,0.0,1
238,629,15,1,1.0,2
239,1141,15,0,0.0,6
240,1156,15,0,0.0,1
241,1176,15,0,0.0,5
242,1364,14,0,0.0,3
243,69,14,0,0.0,3
244,1361,14,0,0.0,3
245,234,14,0,0.0,3
246,380,14,0,0.0,5
247,27,14,0,0.0,8
248,1283,14,0,0.0,2
249,855,14,0,0.0,7
250,851,14,0,0.0,3
251,1022,13,0,0.0,1
252,1252,13,0,0.0,1
253,208,13,0,0.0,3
254,388,13,0,0.0,4
255,1391,13,0,0.0,2
256,572,13,0,0.0,4
257,1267,13,0,0.0,2
258,601,13,0,0.0,3
259,1334,13,0,0.0,5
260,476,13,0,0.0,4
261,134,13,2,5.0,9
262,1158,12,0,0.0,5
263,401,12,0,0.0,2
264,1222,12,0,0.0,1
265,567,12,0,0.0,3
266,402,12,0,0.0,1
267,394,12,0,0.0,5
268,593,12,0,0.0,2
269,404,12,0,0.0,3
270,328,12,0,0.0,2
271,248,12,0,0.0,6
272,657,12,0,0.0,6
273,47,12,0,0.0,5
274,66,12,0,0.0,4
275,183,12,0,0.0,6
276,449,12,0,0.0,4
277,605,12,0,0.0,2
278,186,12,0,0.0,1
279,927,12,0,0.0,5
280,285,12,0,0.0,4
281,900,12,0,0.0,1
282,879,12,0,0.0,2
283,204,12,0,0.0,2
284,477,12,0,0.0,2
285,807,12,0,0.0,2
286,552,11,0,0.0,4
287,543,11,0,0.0,3
288,1393,11,0,0.0,2
289,1299,11,0,0.0,1
290,86,11,0,0.0,4
291,764,11,0,0.0,6
292,407,11,0,0.0,1
293,308,11,0,0.0,3
294,817,11,0,0.0,1
295,907,11,0,0.0,3
296,782,11,0,0.0,2
297,149,11,0,0.0,4
298,307,11,0,0.0,3
299,141,11,1,1.0,4
300,810,11,0,0.0,4
301,667,11,0,0.0,4
302,1458,10,0,0.0,4
303,1459,10,0,0.0,1
304,1460,10,0,0.0,1
305,820,10,0,0.0,6
306,800,10,0,0.0,3
307,21,10,0,0.0,1
308,442,10,0,0.0,3
309,650,10,0,0.0,5
310,344,10,1,1.0,3
311,93,10,1,1.0,3
312,119,10,0,0.0,1
313,1207,10,0,0.0,3
314,589,10,0,0.0,4
315,1211,10,0,0.0,2
316,424,10,0,0.0,1
317,313,10,0,0.0,1
318,678,10,0,0.0,1
319,471,9,0,0.0,1
320,549,9,0,0.0,1
321,369,9,0,0.0,1
322,386,9,0,0.0,5
323,535,9,0,0.0,1
324,604,9,0,0.0,5
325,527,9,0,0.0,2
326,433,9,0,0.0,2
327,595,9,0,0.0,5
328,839,9,0,0.0,4
329,1140,9,0,0.0,2
330,794,9,0,0.0,3
331,1195,9,0,0.0,3
332,1392,9,0,0.0,1
333,990,9,0,0.0,2
334,1253,9,0,0.0,3
335,951,9,0,0.0,2
336,929,9,0,0.0,2
337,197,9,0,0.0,3
338,1277,9,0,0.0,1
339,457,9,0,0.0,2
340,260,9,0,0.0,1
341,1308,9,0,0.0,3
342,228,9,1,1.0,4
343,1170,9,0,0.0,3
344,320,9,0,0.0,1
345,753,9,0,0.0,5
346,762,9,0,0.0,2
347,5,9,0,0.0,5
348,113,8,0,0.0,1
349,889,8,0,0.0,1
350,505,8,0,0.0,1
351,413,8,0,0.0,3
352,1042,8,0,0.0,1
353,77,8,0,0.0,3
354,128,8,0,0.0,5
355,503,8,0,0.0,2
356,710,8,0,0.0,1
357,396,8,0,0.0,2
358,1136,8,0,0.0,4
359,399,8,0,0.0,3
360,88,8,7,1.7142857142857142,8
361,288,8,0,0.0,1
362,1259,8,0,0.0,1
363,668,8,0,0.0,3
364,860,8,0,0.0,1
365,1325,8,0,0.0,1
366,473,8,0,0.0,2
367,103,8,0,0.0,2
368,422,8,0,0.0,5
369,1288,8,0,0.0,2
370,798,8,0,0.0,2
371,792,8,0,0.0,2
372,95,8,0,0.0,3
373,1171,7,0,0.0,2
374,517,7,0,0.0,1
375,1185,7,0,0.0,1
376,418,7,0,0.0,3
377,1290,7,0,0.0,3
378,1203,7,0,0.0,1
379,425,7,0,0.0,5
380,506,7,0,0.0,2
381,487,7,0,0.0,1
382,1219,7,0,0.0,3
383,1165,7,0,0.0,1
384,1289,7,0,0.0,2
385,1057,7,0,0.0,3
386,711,7,0,0.0,2
387,1438,7,0,0.0,1
388,342,7,0,0.0,3
389,673,7,0,0.0,1
390,314,7,0,0.0,2
391,648,7,0,0.0,2
392,279,7,0,0.0,3
393,264,7,0,0.0,2
394,257,7,0,0.0,3
395,822,7,0,0.0,2
396,823,7,0,0.0,2
397,37,7,0,0.0,3
398,856,7,0,0.0,2
399,1440,7,0,0.0,2
400,78,7,0,0.0,3
401,610,7,0,0.0,3
402,956,7,0,0.0,2
403,1131,7,0,0.0,1
404,1394,7,0,0.0,1
405,967,7,0,0.0,2
406,1032,7,0,0.0,2
407,1111,7,0,0.0,1
408,1066,7,0,0.0,2
409,1073,7,0,0.0,2
410,1366,6,0,0.0,1
411,1343,6,0,0.0,2
412,465,6,0,0.0,2
413,1365,6,0,0.0,2
414,1376,6,0,0.0,2
415,1362,6,0,0.0,1
416,1471,6,0,0.0,1
417,1445,6,0,0.0,1
418,1359,6,0,0.0,3
419,722,6,0,0.0,2
420,1335,6,0,0.0,1
421,869,6,0,0.0,4
422,729,6,0,0.0,1
423,691,6,0,0.0,4
424,797,6,0,0.0,2
425,635,6,0,0.0,1
426,633,6,2,15.0,3
427,632,6,0,0.0,1
428,622,6,0,0.0,2
429,877,6,0,0.0,1
430,1261,6,0,0.0,3
431,966,6,0,0.0,1
432,1110,6,0,0.0,2
433,564,6,0,0.0,1
434,1197,6,0,0.0,1
435,1212,6,0,0.0,2
436,1218,6,0,0.0,2
437,540,6,0,0.0,1
438,464,6,0,0.0,2
439,755,6,0,0.0,1
440,42,6,0,0.0,3
441,384,6,0,0.0,1
442,40,6,0,0.0,3
443,429,6,0,0.0,2
444,247,6,0,0.0,2
445,430,6,0,0.0,2
446,101,6,0,0.0,3
447,41,6,0,0.0,3
448,263,6,0,0.0,4
449,309,6,0,0.0,2
450,140,6,0,0.0,2
451,329,6,0,0.0,2
452,331,6,0,0.0,1
453,348,6,0,0.0,3
454,74,6,0,0.0,2
455,84,6,0,0.0,2
456,155,6,0,0.0,1
457,377,6,0,0.0,1
458,375,6,0,0.0,1
459,403,5,0,0.0,3
460,138,5,1,24.0,3
461,1306,5,0,0.0,1
462,406,5,0,0.0,1
463,408,5,0,0.0,1
464,286,5,0,0.0,3
465,1086,5,0,0.0,1
466,150,5,0,0.0,1
467,1377,5,0,0.0,1
468,812,5,0,0.0,3
469,603,5,0,0.0,2
470,1415,5,0,0.0,1
471,1378,5,0,0.0,1
472,1452,5,0,0.0,1
473,419,5,0,0.0,2
474,656,5,0,0.0,3
475,819,5,0,0.0,3
476,423,5,0,0.0,3
477,58,5,0,0.0,2
478,831,5,0,0.0,2
479,1455,5,0,0.0,2
480,1313,5,0,0.0,1
481,1076,5,0,0.0,2
482,760,5,0,0.0,1
483,319,5,0,0.0,1
484,1367,5,0,0.0,1
485,1358,5,0,0.0,1
486,1418,5,0,0.0,1
487,693,5,0,0.0,1
488,1046,5,0,0.0,1
489,1154,5,0,0.0,2
490,1079,5,0,0.0,2
491,1422,5,0,0.0,1
492,1342,5,0,0.0,1
493,1338,5,0,0.0,1
494,724,5,0,0.0,2
495,1161,5,0,0.0,1
496,340,5,0,0.0,2
497,739,5,0,0.0,2
498,741,5,0,0.0,1
499,428,5,0,0.0,2
500,1409,5,0,0.0,1
501,397,5,0,0.0,1
502,571,5,0,0.0,1
503,613,5,0,0.0,2
504,666,5,0,0.0,1
505,838,5,0,0.0,5
506,1208,5,0,0.0,1
507,229,5,0,0.0,1
508,11,5,0,0.0,2
509,450,5,0,0.0,1
510,432,5,0,0.0,1
511,1466,5,0,0.0,1
512,117,5,0,0.0,2
513,200,5,0,0.0,2
514,129,5,1,1.0,3
515,1262,5,0,0.0,1
516,112,5,0,0.0,1
517,1228,5,0,0.0,1
518,435,5,0,0.0,1
519,447,5,0,0.0,1
520,437,5,0,0.0,1
521,922,5,0,0.0,2
522,916,5,0,0.0,3
523,910,5,0,0.0,1
524,467,5,0,0.0,5
525,1190,5,0,0.0,1
526,31,5,0,0.0,1
527,519,5,0,0.0,1
528,509,5,0,0.0,2
529,102,5,0,0.0,2
530,223,5,0,0.0,3
531,100,5,0,0.0,2
532,991,4,0,0.0,2
533,647,4,0,0.0,1
534,71,4,0,0.0,1
535,687,4,0,0.0,1
536,73,4,0,0.0,1
537,365,4,0,0.0,1
538,1138,4,0,0.0,1
539,1380,4,0,0.0,2
540,1237,4,0,0.0,1
541,353,4,0,0.0,1
542,60,4,0,0.0,1
543,75,4,0,0.0,2
544,921,4,0,0.0,2
545,918,4,0,0.0,1
546,59,4,0,0.0,2
547,714,4,0,0.0,2
548,975,4,0,0.0,2
549,934,4,0,0.0,1
550,1385,4,0,0.0,1
551,939,4,0,0.0,1
552,717,4,0,0.0,1
553,184,4,0,0.0,1
554,1201,4,0,0.0,2
555,978,4,0,0.0,1
556,161,4,0,0.0,2
557,1143,4,0,0.0,2
558,1217,4,0,0.0,2
559,1199,4,0,0.0,1
560,64,4,0,0.0,1
561,357,4,0,0.0,2
562,1146,4,0,0.0,2
563,1051,4,0,0.0,1
564,944,4,0,0.0,1
565,652,4,0,0.0,1
566,1059,4,0,0.0,1
567,62,4,0,0.0,2
568,1250,4,0,0.0,1
569,1339,4,0,0.0,1
570,1011,4,0,0.0,1
571,1000,4,0,0.0,1
572,291,4,0,0.0,4
573,1276,4,0,0.0,1
574,1302,4,0,0.0,4
575,283,4,0,0.0,1
576,206,4,0,0.0,1
577,857,4,0,0.0,2
578,804,4,0,0.0,1
579,1174,4,0,0.0,2
580,252,4,0,0.0,1
581,1268,4,0,0.0,1
582,1282,4,0,0.0,2
583,845,4,0,0.0,1
584,842,4,0,0.0,2
585,821,4,0,0.0,2
586,238,4,0,0.0,1
587,1008,4,0,0.0,1
588,237,4,0,0.0,1
589,226,4,0,0.0,1
590,832,4,0,0.0,1
591,786,4,0,0.0,1
592,1020,4,0,0.0,2
593,189,4,0,0.0,2
594,1256,4,0,0.0,1
595,904,4,0,0.0,4
596,726,4,0,0.0,1
597,1034,4,0,0.0,1
598,1249,4,0,0.0,1
599,1286,4,0,0.0,1
600,165,4,0,0.0,1
601,738,4,0,0.0,2
602,115,4,0,0.0,1
603,1254,4,0,0.0,2
604,132,4,0,0.0,2
605,304,4,0,0.0,2
606,114,4,0,0.0,2
607,1260,4,0,0.0,1
608,324,4,0,0.0,1
609,886,4,0,0.0,1
610,316,4,0,0.0,1
611,1318,4,0,0.0,2
612,199,4,0,0.0,1
613,772,4,0,0.0,1
614,306,4,0,0.0,2
615,637,4,0,0.0,2
616,1108,4,0,0.0,2
617,1465,4,0,0.0,1
618,1402,4,0,0.0,1
619,1457,4,0,0.0,1
620,1075,4,0,0.0,1
621,412,4,0,0.0,2
622,1114,4,0,0.0,1
623,1419,4,0,0.0,1
624,569,4,0,0.0,2
625,481,4,0,0.0,2
626,482,4,0,0.0,1
627,608,4,0,0.0,1
628,538,4,0,0.0,2
629,1464,4,0,0.0,1
630,395,4,0,0.0,1
631,421,4,0,0.0,1
632,29,4,0,0.0,2
633,597,4,0,0.0,2
634,267,4,0,0.0,1
635,1417,4,0,0.0,1
636,159,4,0,0.0,1
637,1416,4,0,0.0,2
638,514,4,0,0.0,1
639,472,4,0,0.0,2
640,1467,4,0,0.0,1
641,1461,4,0,0.0,1
642,463,4,0,0.0,1
643,1071,4,0,0.0,1
644,585,4,0,0.0,1
645,512,4,0,0.0,1
646,374,4,0,0.0,2
647,625,4,0,0.0,2
648,1441,4,0,0.0,1
649,51,4,0,0.0,1
650,500,4,0,0.0,1
651,98,3,0,0.0,1
652,854,3,0,0.0,1
653,1279,3,0,0.0,1
654,834,3,0,0.0,1
655,1092,3,0,0.0,1
656,211,3,0,0.0,1
657,99,3,0,0.0,3
658,1005,3,0,0.0,1
659,33,3,0,0.0,1
660,852,3,0,0.0,1
661,1284,3,0,0.0,1
662,1456,3,0,0.0,1
663,522,3,0,0.0,1
664,521,3,0,0.0,3
665,1291,3,0,0.0,1
666,844,3,0,0.0,1
667,843,3,0,0.0,1
668,802,3,0,0.0,1
669,1292,3,0,0.0,1
670,281,3,0,0.0,1
671,1018,3,0,0.0,1
672,295,3,0,0.0,1
673,785,3,0,0.0,1
674,787,3,0,0.0,1
675,1172,3,0,0.0,1
676,791,3,0,0.0,1
677,290,3,0,0.0,1
678,1015,3,0,0.0,1
679,287,3,0,0.0,1
680,136,3,0,0.0,1
681,1442,3,0,0.0,1
682,1443,3,0,0.0,1
683,1301,3,0,0.0,1
684,1177,3,0,0.0,1
685,55,3,0,0.0,1
686,803,3,0,0.0,1
687,1447,3,0,0.0,1
688,806,3,0,0.0,1
689,271,3,0,0.0,1
690,250,3,0,0.0,1
691,249,3,0,0.0,1
692,244,3,0,0.0,1
693,532,3,0,0.0,1
694,243,3,0,0.0,1
695,171,3,0,0.0,1
696,531,3,0,0.0,3
697,1296,3,0,0.0,1
698,876,3,0,0.0,1
699,1275,3,0,0.0,1
700,14,3,0,0.0,1
701,1240,3,0,0.0,1
702,1239,3,0,0.0,1
703,1238,3,0,0.0,1
704,920,3,0,0.0,1
705,478,3,0,0.0,1
706,15,3,0,0.0,1
707,926,3,0,0.0,1
708,187,3,0,0.0,1
709,185,3,0,0.0,1
710,935,3,0,0.0,1
711,1231,3,0,0.0,1
712,985,3,0,0.0,1
713,448,3,0,0.0,1
714,1242,3,0,0.0,1
715,984,3,0,0.0,1
716,942,3,0,0.0,1
717,451,3,0,0.0,1
718,46,3,0,0.0,1
719,954,3,0,0.0,1
720,1215,3,0,0.0,1
721,959,3,0,0.0,1
722,1213,3,0,0.0,1
723,123,3,0,0.0,1
724,177,3,0,0.0,1
725,176,3,0,0.0,1
726,1209,3,0,0.0,1
727,1241,3,0,0.0,1
728,911,3,0,0.0,1
729,205,3,0,0.0,1
730,1472,3,0,0.0,1
731,108,3,0,0.0,1
732,1272,3,0,0.0,1
733,1271,3,0,0.0,1
734,201,3,0,0.0,1
735,1094,3,0,0.0,1
736,501,3,0,0.0,1
737,1311,3,0,0.0,1
738,109,3,0,0.0,1
739,1264,3,0,0.0,1
740,885,3,0,0.0,1
741,497,3,0,0.0,3
742,436,3,0,0.0,1
743,1188,3,0,0.0,1
744,28,3,0,0.0,1
745,1255,3,0,0.0,1
746,1473,3,0,0.0,1
747,116,3,0,0.0,1
748,261,3,0,0.0,1
749,1116,3,0,0.0,1
750,901,3,0,0.0,1
751,1248,3,0,0.0,1
752,1247,3,0,0.0,1
753,1246,3,0,0.0,1
754,1245,3,0,0.0,1
755,17,3,0,0.0,1
756,1243,3,0,0.0,1
757,299,3,0,0.0,1
758,713,3,0,0.0,1
759,689,3,0,0.0,1
760,725,3,0,0.0,1
761,1425,3,0,0.0,1
762,1420,3,0,0.0,1
763,363,3,0,0.0,1
764,728,3,0,0.0,1
765,341,3,0,0.0,1
766,581,3,0,0.0,1
767,580,3,0,0.0,1
768,164,3,0,0.0,1
769,1331,3,0,0.0,1
770,144,3,0,0.0,1
771,1048,3,0,0.0,1
772,1427,3,0,0.0,1
